time,thetao
2002-06-01,29.15622
2002-07-01,28.511616
2002-08-01,27.897108
2002-09-01,28.321005
2002-10-01,29.031599
2002-11-01,28.666136
2002-12-01,28.08588
2003-01-01,27.379116
2003-02-01,27.637333
2003-03-01,28.429451
2003-04-01,29.797338
2003-05-01,30.04314
2003-06-01,29.614428
2003-07-01,28.64075
2003-08-01,28.205627
2003-09-01,28.335245
2003-10-01,28.78084
2003-11-01,28.646008
2003-12-01,27.886368
2004-01-01,27.37187
2004-02-01,27.425299
2004-03-01,28.382526
2004-04-01,29.756516
2004-05-01,29.56575
2004-06-01,28.735851
2004-07-01,28.231066
2004-08-01,27.90662
2004-09-01,28.296503
2004-10-01,28.599987
2004-11-01,28.54486
2004-12-01,27.84775
2005-01-01,27.232477
2005-02-01,27.457827
2005-03-01,28.40459
2005-04-01,29.516989
2005-05-01,30.298162
2005-06-01,29.583502
2005-07-01,28.453508
2005-08-01,28.131437
2005-09-01,28.178015
2005-10-01,28.61298
2005-11-01,28.324148
2005-12-01,27.59822
2006-01-01,27.110607
2006-02-01,27.446003
2006-03-01,28.36574
2006-04-01,29.314175
2006-05-01,29.737524
2006-06-01,29.250242
2006-07-01,28.443361
2006-08-01,28.038113
2006-09-01,28.222767
2006-10-01,28.842001
2006-11-01,28.805767
2006-12-01,27.945412
2007-01-01,27.169664
2007-02-01,27.46209
2007-03-01,28.102682
2007-04-01,29.525797
2007-05-01,29.942638
2007-06-01,29.485086
2007-07-01,28.432749
2007-08-01,28.171957
2007-09-01,28.271318
2007-10-01,28.558619
2007-11-01,28.401411
2007-12-01,27.624651
2008-01-01,27.195755
2008-02-01,27.177465
2008-03-01,28.01107
2008-04-01,29.223354
2008-05-01,29.607637
2008-06-01,29.04007
2008-07-01,28.380262
2008-08-01,27.92683
2008-09-01,28.377466
2008-10-01,29.078594
2008-11-01,28.696753
2008-12-01,28.065731
2009-01-01,27.404894
2009-02-01,27.555647
2009-03-01,28.587029
2009-04-01,29.483576
2009-05-01,29.851536
2009-06-01,29.346504
2009-07-01,28.457058
2009-08-01,28.286743
2009-09-01,28.43868
2009-10-01,28.896458
2009-11-01,28.801128
2009-12-01,28.16498
2010-01-01,27.645727
2010-02-01,27.751652
2010-03-01,28.898993
2010-04-01,30.2009
2010-05-01,30.686583
2010-06-01,29.69144
2010-07-01,28.834406
2010-08-01,28.355602
2010-09-01,28.386314
2010-10-01,28.735332
2010-11-01,28.603209
2010-12-01,27.802097
2011-01-01,27.11345
2011-02-01,27.305765
2011-03-01,28.158365
2011-04-01,29.307743
2011-05-01,29.814655
2011-06-01,29.17875
2011-07-01,28.518602
2011-08-01,28.18699
2011-09-01,28.134281
2011-10-01,29.032137
2011-11-01,28.710438
2011-12-01,28.038061
2012-01-01,27.26949
2012-02-01,27.17433
2012-03-01,28.079958
2012-04-01,29.407726
2012-05-01,29.769014
2012-06-01,29.179903
2012-07-01,28.480787
2012-08-01,28.198063
2012-09-01,28.233088
2012-10-01,28.91741
2012-11-01,28.739666
2012-12-01,28.059696
2013-01-01,27.450209
2013-02-01,27.484009
2013-03-01,28.438135
2013-04-01,29.593718
2013-05-01,30.017347
2013-06-01,28.939896
2013-07-01,28.079664
2013-08-01,27.690367
